,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.026713,-0.055268,-0.998114,-0.09438,0.00815,-0.995503,-0.034,-0.024,17.1,4.5,356.7,-0.177,0.098,-0.011,0.0,0.0,0.79,0.21,0.0,0.0,0.2,0.0,0.0,0.25,1.22,0.12,0.45,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.025939,-0.073267,-0.996975,-0.093644,-0.005521,-0.99559,-0.034,-0.04,17.1,4.7,355.6,-0.199,0.101,-0.013,0.0,0.1,0.84,0.23,0.0,0.0,0.15,0.0,0.0,0.4,1.1,0.11,0.31,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.024019,-0.064675,-0.997617,-0.09136,-0.005016,-0.995805,-0.034,-0.035,17.1,4.8,354.9,-0.204,0.103,-0.014,0.0,0.16,0.85,0.26,0.0,0.0,0.12,0.0,0.0,0.57,1.03,0.07,0.2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.02166,-0.066222,-0.99757,-0.091705,-0.008883,-0.995747,-0.035,-0.038,17.1,4.8,354.6,-0.21,0.104,-0.014,0.0,0.24,0.86,0.36,0.0,0.0,0.11,0.0,0.0,0.7,0.93,0.03,0.19,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.018857,-0.06589,-0.997649,-0.094368,0.008823,-0.995498,-0.038,-0.029,17.3,5.3,355.4,-0.213,0.103,-0.016,0.0,0.34,0.88,0.33,0.0,0.0,0.07,0.0,0.0,0.77,0.98,0.04,0.14,0.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.019678,-0.070868,-0.997292,-0.095083,0.003415,-0.995463,-0.038,-0.034,17.2,5.4,354.9,-0.219,0.102,-0.016,0.0,0.41,0.87,0.32,0.0,0.0,0.04,0.0,0.0,0.72,0.91,0.03,0.12,0.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.018202,-0.060472,-0.998004,-0.102097,0.007589,-0.994745,-0.042,-0.027,17.5,5.9,354.8,-0.218,0.101,-0.018,0.0,0.34,0.86,0.18,0.0,0.0,0.01,0.0,0.0,0.69,0.92,0.03,0.11,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.020516,-0.064553,-0.997703,-0.103443,0.003664,-0.994629,-0.042,-0.031,17.5,5.9,354.5,-0.223,0.1,-0.017,0.05,0.21,0.84,0.21,0.0,0.0,0.0,0.0,0.0,0.66,0.91,0.0,0.15,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.017365,-0.065714,-0.997687,-0.102677,0.002709,-0.994711,-0.043,-0.032,17.5,5.9,354.4,-0.224,0.1,-0.017,0.07,0.11,0.92,0.14,0.0,0.0,0.01,0.0,0.0,0.67,0.86,0.0,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.018081,-0.070392,-0.997356,-0.101607,0.005096,-0.994812,-0.042,-0.033,17.6,6.1,353.7,-0.226,0.098,-0.018,0.11,0.09,0.99,0.1,0.0,0.0,0.01,0.0,0.0,0.67,0.79,0.0,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
